기준년월, 처리지사코드, 금융지원구분, 지원자수, 지원금액, 적재기준일자, 적재일시
201902,6120,3,16,28100000,20191017,2019-10-18 5:55
201902,6130,3,16,29400000,20191017,2019-10-18 5:55
201902,6210,3,18,38000000,20191017,2019-10-18 5:55
201902,6220,3,2,4000000,20191017,2019-10-18 5:55
201902,6230,3,5,9000000,20191017,2019-10-18 5:55
201902,6310,3,3,5000000,20191017,2019-10-18 5:55
201902,7000,3,107,177270000,20191017,2019-10-18 5:55
201902,7001,3,5,10000000,20191017,2019-10-18 5:55
201902,7110,3,41,63900000,20191017,2019-10-18 5:55
201902,7120,3,3,4900000,20191017,2019-10-18 5:55
201902,7210,3,37,73500000,20191017,2019-10-18 5:55
201902,7220,3,1,2000000,20191017,2019-10-18 5:55
201903,2150,4,6,46300000,20191017,2019-10-18 5:55
201903,5120,4,42,315600000,20191017,2019-10-18 5:55
201903,2020,4,50,294200000,20191017,2019-10-18 5:55
201903,2120,4,4,26100000,20191017,2019-10-18 5:55
201903,6110,4,30,157200000,20191017,2019-10-18 5:55
201903,5180,4,33,216100000,20191017,2019-10-18 5:55
201903,2080,4,12,87000000,20191017,2019-10-18 5:55
201903,5170,4,33,225700000,20191017,2019-10-18 5:55
201903,2011,4,36,229910000,20191017,2019-10-18 5:55
201903,6130,4,25,166000000,20191017,2019-10-18 5:55
201903,5190,4,17,85900000,20191017,2019-10-18 5:55
201903,2070,4,39,275000000,20191017,2019-10-18 5:55
201903,2050,4,48,304620000,20191017,2019-10-18 5:55
201903,5210,4,29,217400000,20191017,2019-10-18 5:55
201903,7000,4,78,442000000,20191017,2019-10-18 5:55
201903,7110,4,31,171000000,20191017,2019-10-18 5:55
201903,3000,4,34,239600000,20191017,2019-10-18 5:55
201903,3010,4,39,268000000,20191017,2019-10-18 5:55
201903,3110,4,42,283220000,20191017,2019-10-18 5:55
201903,6001,4,15,114840000,20191017,2019-10-18 5:55
201903,3130,4,29,163100000,20191017,2019-10-18 5:55
201903,5010,4,43,209200000,20191017,2019-10-18 5:55
201903,5000,4,63,400150000,20191017,2019-10-18 5:55
201903,5110,4,28,193480000,20191017,2019-10-18 5:55
201903,5130,4,34,206300000,20191017,2019-10-18 5:55
201903,2000,4,71,390900000,20191017,2019-10-18 5:55
201903,2010,4,96,578240000,20191017,2019-10-18 5:55
201903,2110,4,20,154800000,20191017,2019-10-18 5:55
201903,4001,4,13,106700000,20191017,2019-10-18 5:55
201903,7220,4,3,30000000,20191017,2019-10-18 5:55
201903,4020,4,25,184600000,20191017,2019-10-18 5:55
201903,4120,4,12,79800000,20191017,2019-10-18 5:55
201903,6000,4,38,236600000,20191017,2019-10-18 5:55
201903,3140,4,41,183800000,20191017,2019-10-18 5:55
201903,2030,4,60,432000000,20191017,2019-10-18 5:55
201903,2130,4,17,124100000,20191017,2019-10-18 5:55
